Date,soy_usd,usdbrl
2012-04-04,1419.5,1.829200029373169
2012-04-05,1434.0,1.8274999856948853
2012-04-09,1431.0,1.8219000101089478
2012-04-10,1426.0,1.819000005722046
2012-04-11,1422.0,1.8324999809265137
2012-04-12,1441.0,1.8345999717712402
2012-04-13,1436.75,1.826200008392334
2012-04-16,1420.0,1.837399959564209
2012-04-17,1425.75,1.8457000255584717
2012-04-18,1407.75,1.8583999872207642
2012-04-19,1415.75,1.8776999711990356
2012-04-20,1446.75,1.8795000314712524
2012-04-23,1437.25,1.8717999458312988
2012-04-24,1461.25,1.8797999620437622
2012-04-25,1473.5,1.8792999982833862
2012-04-26,1481.25,1.8788000345230103
2012-04-27,1496.75,1.8838000297546387
2012-04-30,1503.0,1.8860000371932983
2012-05-01,1497.75,1.9057999849319458
2012-05-02,1480.0,1.9063999652862549
2012-05-03,1468.75,1.9221999645233154
2012-05-04,1475.0,1.9098000526428223
2012-05-07,1463.5,1.926900029182434
2012-05-08,1437.75,1.9187999963760376
2012-05-09,1427.75,1.9378999471664429
2012-05-10,1452.25,1.969499945640564
2012-05-11,1404.0,1.9520000219345093
2012-05-14,1390.0,1.9651999473571777
2012-05-15,1413.0,1.9925999641418457
2012-05-16,1422.0,1.999899983406067
2012-05-17,1438.0,1.999400019645691
2012-05-18,1405.0,2.007699966430664
2012-05-21,1412.5,2.0220000743865967
2012-05-22,1382.25,2.0322999954223633
2012-05-23,1362.5,2.0873000621795654
2012-05-24,1376.0,2.027100086212158
2012-05-25,1382.0,2.027400016784668
2012-05-29,1386.75,1.9818999767303467
2012-05-30,1373.25,1.9919999837875366
2012-05-31,1340.0,2.014899969100952
2012-06-01,1344.25,2.0253000259399414
2012-06-04,1340.0,2.038800001144409
2012-06-05,1349.5,2.0529000759124756
2012-06-06,1386.25,2.0215001106262207
2012-06-07,1428.0,2.031599998474121
2012-06-08,1426.25,2.029599905014038
2012-06-11,1424.75,2.0220000743865967
2012-06-12,1435.0,2.063699960708618
2012-06-13,1408.25,2.066800117492676
2012-06-14,1386.0,2.0708999633789062
2012-06-15,1376.0,2.057800054550171
2012-06-18,1384.25,2.0481998920440674
2012-06-19,1433.75,2.0601000785827637
2012-06-20,1446.5,2.027899980545044
2012-06-21,1438.5,2.0225000381469727
2012-06-22,1442.5,2.0622000694274902
2012-06-25,1482.5,2.065999984741211
2012-06-26,1470.5,2.06030011177063
2012-06-27,1471.0,2.074700117111206
2012-06-28,1466.0,2.07450008392334
2012-06-29,1512.75,2.0768001079559326
2012-07-02,1532.25,2.008699893951416
2012-07-03,1572.25,1.9845999479293823
2012-07-05,1626.5,2.0262999534606934
2012-07-06,1619.75,2.018699884414673
2012-07-09,1665.0,2.027600049972534
2012-07-10,1648.75,2.031399965286255
2012-07-11,1623.0,2.0325000286102295
2012-07-12,1625.75,2.0352001190185547
2012-07-13,1642.0,2.0367000102996826
2012-07-16,1633.75,2.0373001098632812
2012-07-17,1639.0,2.03410005569458
2012-07-18,1683.5,2.0206000804901123
2012-07-19,1733.75,2.0185000896453857
2012-07-20,1757.5,2.011199951171875
2012-07-23,1698.5,2.022900104522705
2012-07-24,1649.25,2.036400079727173
2012-07-25,1694.25,2.0455000400543213
2012-07-26,1655.75,2.0327000617980957
2012-07-27,1684.25,2.0201001167297363
2012-07-30,1725.75,2.020900011062622
2012-07-31,1721.0,2.040299892425537
2012-08-01,1682.25,2.0566999912261963
2012-08-02,1653.0,2.042099952697754
2012-08-03,1656.25,2.0483999252319336
2012-08-06,1607.5,2.0269999504089355
2012-08-07,1605.25,2.0285000801086426
2012-08-08,1630.0,2.027100086212158
2012-08-09,1694.5,2.0211000442504883
2012-08-10,1709.5,2.0171000957489014
2012-08-13,1656.25,2.0139000415802
2012-08-14,1680.0,2.019700050354004
2012-08-15,1659.75,2.0257999897003174
2012-08-16,1656.25,2.0236001014709473
2012-08-17,1671.0,2.0151000022888184
2012-08-20,1703.75,2.0144999027252197
2012-08-21,1753.5,2.0143001079559326
2012-08-22,1748.0,2.0109000205993652
2012-08-23,1727.25,2.0153000354766846
2012-08-24,1737.5,2.0227999687194824
2012-08-27,1729.75,2.023099899291992
2012-08-28,1732.5,2.0309998989105225
2012-08-29,1763.25,2.0408999919891357
2012-08-30,1770.25,2.046999931335449
2012-08-31,1764.5,2.0455000400543213
2012-09-04,1771.0,2.028599977493286
2012-09-05,1748.0,2.0367000102996826
2012-09-06,1744.5,2.0362000465393066
2012-09-07,1731.75,2.0250000953674316
2012-09-10,1713.0,2.0253000259399414
